"Abo Settings","Abonnement Einstellungen"
"Abo E-Mail Settings","Abonnement E-Mail Einstellungen"
"Sender Name","Absender Name"
"E-Mail Address","E-Mail Addresse"
"Cancellation Template","Kündigung Template"
"Abo product is no longer available template","Abo Produkt nicht mehr verfügbar Template"
"Subscription renewal template","Abonnement Erneuerung Template"
"Termination denied template","Kündigung verweigert Template"
"Termination request template","Kündigungs Anfrage Template"
"Abo","Abonnements"
"Show Abos","zeige Abonnements"
"Email sent", "Email gesendet"
"Renewal Status","Erneuerungs Status"
"Cancelation Periode End","Ende Kündigungszeitraum"
"Cancelation until","Kündbar bis"
"Initial Order","Erstbestellung"
"Reorderd","neu bestellt"
"Abo Settings","Abonnement Einstellungen"
"Abo E-Mail Settings","Abonnement Email Einstellungen"
"Your subscription can not be deleted at the moment because of tier price usage. The operator has been informed and will contact you!","Ihr Abonnement kann zur Zeit wegen der Inanspruchname von Mengenrabatten nicht gekündigt werden. Der zuständige Berabeiter wurde informiert und wird sich mit Ihnen in Verbindung setzen!"
"Value will be added to product base price.","Der Wert wird auf Produktpreis addiert."
"Value will be replace product base price.","Der Wert ersetzt den Produktpreis."
"My Weather Subscription","Meine Wetter-Abonnements"
"Items Subcribed","abbonierte Artikel"
"Cancel subscribe","Abonnement kündigen"
"Are you sure you want to delete your subscription?","Sind Sie sicher, dass Sie Ihr Abonnement löschen wollen?"
"Resigned","Gekündigt"
"Change Station","Station wechseln"
"Send cancel notification to customer","Kündigungsbestätigung zum Kunden schicken"
"Product features","Artikelmerkmale"
"Article","Artikel"
"SKU short","Artikel-Nr."
"order information","Bestelldaten"
"Only on State canceled","Nur im Status gekündigt wirksam"
"to","bis"
"You do not have any Abo yet.","Sie haben keine aktiven Abonnements!"
"Link to application","Link zur Anwendung"
