"Type of Captcha","Captcha-Typ"
"Type of captcha to use.","Dieser Captcha-Typ wird benutzt."
"Magento default","Magento Standard"
"Icon Captcha","Icon Captcha"
"Google reCaptcha v2","Google reCaptcha v2"
"Forms","Formulare"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA für ""Benutzer anlegen"" und ""Passwort vergessen"" ist, wenn ausgewählt, immer aktiv"
"Theme of the captcha","Theme des Captcha"
"Light Theme","Helles Theme"
"Dark Theme","Dunkles Theme"
"Allows you to select the theme of the captcha. At the moment you can only choose between light and dark.","Ermöglicht es Ihnen, das Theme des Captcha zu ändern. Im Moment können Sie nur zwischen Hell und Dunkel wählen."
"Font family of the captcha","Schriftfamilie des Captcha"
"Leaving this option blank will result in the use of the default font Arial.","Wenn Sie diese Option leer lassen, wird als Schriftart Arial verwendet."
"Click delay","Klickverzögerung"
"The time (in milliseconds) during which the user can't select an image. Set to 0 to disable.","Die Zeit (in Millisekunden), in der der Benutzer kein Bild auswählen kann. Zum Deaktivieren auf 0 setzen."
"Hover Detection","Hover-Erkennung"
"Prevent clicking on any captcha icon until the cursor hovered over the captcha at least once.","Verhindern Sie das Klicken auf ein beliebiges Captcha-Symbol, bis der Mauszeiger mindestens einmal über das Captcha bewegt wurde."
"Loading Animation","Lade-Animation"
"Enable or disable the fake loading animation after clicking on an image.","Aktivieren oder deaktivieren Sie die Animation zum Laden von gefälschten Bildern, nachdem Sie auf ein Bild geklickt haben."
"Animation Delay","Animations-Verzögerung"
"The time (in milliseconds) during which the fake loading animation will play until the user input actually gets validated.","Die Zeit (in Millisekunden), in der die Animation des gefälschten Ladens abgespielt wird, bis die Benutzereingabe tatsächlich validiert wird."
"Request Icons Delay","Abfragesymbole Verzögerung"
"The captcha will not request hashes or images from the server until after this delay (in milliseconds). If a page displaying one or more captchas gets constantly refreshed (during an attack?), it will not request the resources right away.","Das Captcha wird erst nach dieser Verzögerung (in Millisekunden) Hashes oder Bilder vom Server anfordern. Wenn eine Seite, die ein oder mehrere Captchas anzeigt, ständig aktualisiert wird (während eines Angriffs?), wird sie die Ressourcen nicht sofort anfordern."
"Custom Captcha Messages","eigene Captcha-Nachrichten"
"Change the messages used by the captcha. All the changeable strings can be found down below.","Ändert die vom Captcha verwendeten Nachrichten. Alle änderbaren Zeichenketten finden Sie weiter unten."
"Captcha Header","Captcha Titel"
"This text should help the user to use the captcha correctly.<br />Leave blank for standard.","Dieser Text soll dem Benutzer helfen das Captcha korrekt zu bedienen.<br />Leer lassen für Standard."
"Correct Title","Titel bei korrekter Eingabe"
"This text is displayed if the user's selection is correct.<br />Leave blank for standard.","Dieser Text wird angezeigt, wenn die Auswahl des Benutzers korrekt ist.<br />Leer lassen für Standard."
"Correct Subtitle","Info bei korrekter Eingabe"
"Additional information if user input is correct.<br />Leave blank for standard.","Zusätzliche Information, wenn die Eingabe des Benutzers falsch ist.<br />Leer lassen für Standard."
"Incorrect Title","Titel bei falscher Eingabe"
"This text is displayed if the user's selection is not correct.<br />Leave blank for standard.","Dieser Text wird angezeigt, wenn die Auswahl des Benutzers falsch ist.<br />Leer lassen für Standard."
"Incorrect Subtitle","Info bei falscher Eingabe"
"Additional information if user input is not correct.<br />Leave blank for standard.","Zusätzliche Information, wenn die Eingabe des Benutzers falsch ist.<br />Leer lassen für Standard."
"API-URL <span style=""color:#FF0000;"">*</span>","API-URL <span style=""color:#FF0000;"">*</span>"
"URL to the Captcha-Api","URL zur Captcha-Api"
"Custom parameters","eigene Parameter"
"Enter your own parameters for the API here (Start with a ?)","Geben Sie hier eigene Paramter für die API an (Beginnend mit einem ?)"
"Site Key <span style=""color:#FF0000;"">*</span>","Websiteschlüssel <span style=""color:#FF0000;"">*</span>"
"Unique site key, which must be generated at Google.<br /><a href=""https://www.google.com/recaptcha/admin"" target=""_blank"">https://www.google.com/recaptcha/admin</a>","Eindeutiger Seitenschlüssel, welcher bei Google erzeugt werden muß.<br /><a href=""https://www.google.com/recaptcha/admin"" target=""_blank"">https://www.google.com/recaptcha/admin</a>"
"Secret Key <span style=""color:#FF0000;"">*</span>","Geheimer Schlüssel"
"Use this key for communication between your website and Google. Keep this key secret.","Verwenden Sie diesen Schlüssel für die Kommunikation zwischen Ihrer Website und Google. Halten Sie diesen Schlüssel geheim."
