"Auto Subscribe For Product Newsletter","Automatisch für Produkt-Newsletter anmelden"
"Issue was successfully saved","Thema wurde erfolgreich gespeichert"
"Issue was successfully deleted","Thema wurde erfolgreich gelöscht"
"Unable to find Issue to save","Es wurde kein Thema zum speichern gefunden"
"General Subscription","Anmeldung zum Newsletterversand"
"Remarks","Bemerkungen"
"Title","Titel"
"Count","Anzahl"
"Newsletter Products Overview","Übersicht Produkt Newsletter"
"Newsletter Issues Overview","Übersicht Themen Newsletter"
"Issue information","Thema Details"
"Manage Issues","Newsletter Themen"
"Issue Manager","Themen Bearbeiten"
"Add Issue","Thema hinzufügen"
"Edit Item '%s'","Bearbeiten von '%s'"
"Subscribed to","Abonniert für"
"Newsletter Subscription","<span lang='en' xml:lang='en'>Newsletter</span> Abonnements"
"There was an error while saving your newsletter settings.","Beim Speichern der Einstellungen Ihres <span lang='en' xml:lang='en'>Newsletter</span> ist ein Fehler aufgetreten."
"There was an error while saving your subscription","Bei Ihrer <span lang='en' xml:lang='en'>Newsletter</span>anmeldung ist ein Fehler aufgetreten."
"Please inform me about these:","Ich möchte per <span lang='en' xml:lang='en'>Newsletter</span> informiert werden:"
"general topics","Anmeldung zum  Newsletterversand."
"general description","Bitte im Kundenkonto Newsletterthemen wählen."
"news about product: %s","Neuigkeiten zu Artikel: %s"
"You are currently subscribed to \'General Subscription\'.","XX"
"The newsletter settings was successfully saved.","Die Einstellungen Ihres <span lang='en' xml:lang='en'>Newsletter</span> wurden gespeichert."
"You are currently subscribed to our Newsletter.","Sie sind zum <span lang='en' xml:lang='en'>Newsletter</span>versand angemeldet."
"You are currently unsubscribed to our Newsletter.","Sie sind nicht zum Newsletterversand angemeldet."
"You are currently not confirmed to get our Newsletter.","Sie haben den Newsletterversand noch nicht bestätigt."
"Back","zurück"
"Save","speichern"
"send to Customer subscribe to this Product","zu Kunden senden die sich für eines dieser Produkte eingeschrieben haben"
"send to Customer subscribe to this Issue","zu Kunden senden die sich für eines dieser Themen eingeschrieben haben"
"%s Entries are added!","%s Einträge wurden hinzugefügt!"
"Subscribe to Newsletter Issue","Für Newsletter-Thema eintragen"
"Remove subscriber after send","Entferne Empfänger nach dem Senden"
"Auto Subscribe For Newsletter","Automatisch zum Newsletterversand anmelden"
